CAL851	HCC2218	HCC70	KPL1	EFM192A	CAL51	EFM19	CAL120	JIMT1	HDQP1	ZR751	HCC38	HCC1143	HCC1187	HCC1395	HCC1500	HCC1806	HCC1937	HCC1954	AU565	BT549	MDAMB453	MDAMB468	T47D	BT20	CAMA1	MCF7	MDAMB157	MDAMB231
TSPAN6	4.86690797814317	3.58736499093646	5.03518399661834	2.09085343045111	3.44493204894218	5.70570149684579	3.48542682717024	4.34837407519116	4.49825086752783	4.4995270242151	2.60644222813161	3.93545974780529	5.21412480535285	5.24298351610969	3.48155728070859	4.09929520433778	3.5981269599196	4.90303827011291	5.29645740737124	3.42894634476948	3.39094277280254	0.20163386116965	5.05267672430358	3.31034012061215	3.34624777408278	1.68706068833989	2.4032677223393	2.69376571221778	3.57773093149008
TNMD	0	0	0.0285691521967709	0	0.0565835283663675	0	0.0285691521967709	0	0	0	0	0	0	0.20163386116965	0	0	0	0	0	0	0	0	0.176322772640463	0	0	0	0	0	0
DPM1	5.72328550477764	6.56376827845203	6.37799132690588	6.92088874164952	7.72287582280956	6.41362792902417	6.98458935036246	6.99706654539873	7.64241277290506	6.05419729438881	7.30277599043921	6.51995070250463	6.32822611878773	5.61647532878288	7.07071132209894	7.46809451637844	5.51254295509686	7.17791779219584	6.79454583302205	6.87011808396593	7.14312807294381	5.99299496685181	6.96150757468309	6.84498815668261	7.08852325661663	6.1197711619529	7.4904899071837	8.05370871447528	6.33002051583608
SCYL3	1.77399632511117	2.63691458035588	3.61470984411521	2.81762325751143	2.98002530023873	3.30012372456901	2.56071495447448	1.59454854955035	2.50080205305716	2.06004738366994	4.03121873061072	2.57288966842058	3.16832111573972	3.09254574154356	2.34198574722862	3.48284828306847	1.70487196445635	2.74416109557041	3.45285896471381	3.50080205305716	2.16992500144231	3.81557542886257	3.16349873228288	2.790772037862	2.95046841415012	3.38543103719352	2.60644222813161	2.16671544496642	2.32768736417605
C1orf112	3.46466826700344	3.64038956005495	4.98139603197215	3.72683121703249	3.67129337248158	4.05224198118114	3.8073549220576	3.32912359629157	4.78555055173926	3.47248777146274	4.10013667128545	4.30451104180995	4.65477921695952	3.73335434061383	3.67919857056692	3.90689059560852	2.40053792958373	4.64846544302731	5.26077843189343	4.31903981556254	4.19534759832222	4.00539998774259	4.69376571221778	4.13504228623365	4.02945288578697	3.90785207184596	3.17791779219584	4.11603199344711	4.63865311646611
FGR	0.176322772640463	0.01435529297707	0.594548549550354	0.0285691521967709	0.01435529297707	0.124328135002202	0.485426827170242	0.01435529297707	0.150559676575381	0.263034405833794	0.070389327891398	0.0840642647884745	0.0426443374084937	0.0840642647884745	0.176322772640463	0.0426443374084937	0.263034405833794	0.150559676575381	0.0426443374084937	0.111031312388744	0.01435529297707	0	0.238786859587116	0.0285691521967709	0.070389327891398	0.0285691521967709	0.01435529297707	0.0976107966264223	0.111031312388744
CFH	0.443606651475615	0.0426443374084937	1.37851162325373	0.070389327891398	0.070389327891398	3.03210084316702	0.0426443374084937	1.37851162325373	0.333423733725192	3.23878685958712	1.02856915219677	2.89336221076387	0.432959407276106	0.111031312388744	3.42088657497553	0.0426443374084937	5.42995065740377	0.070389327891398	4.33913738491959	0.0840642647884745	2.35614381022528	0.0565835283663675	0.985500430304885	0.176322772640463	0.0840642647884745	0.0426443374084937	0.0565835283663675	1.40599235967584	2.03210084316702
FUCA2	5.7309116243181	4.50652577904312	6.0309981181719	5.66902676550963	5.64154602908752	6.22978016673333	6.20437551131909	6.14302600388997	5.89068987768527	5.33735429849697	4.39780296186249	6.45154083301783	6.57425291650018	4.02768487693716	5.854993016757	5.97407036702403	4.76977173924945	5.82017896241519	5.83314309635834	6.06047978140759	6.64486572300792	5.50239425611126	5.58165253046128	4.50969584193339	5.3819754785573	4.84649331596456	6.75982162136153	5.44691786486603	5.96878197383005
GCLC	4.41818994794577	4.03738222200308	5.81583156646482	4.52418907844937	5.2502036564993	4.63749432520631	4.49569516262407	4.26603689399532	4.29572302453997	4.20867331962947	4.03650333373899	4.23725777090037	5.1407786557828	5.47281266619239	5.97636363573276	4.78083500173823	6.25285462595139	4.3743439890385	7.31342726581369	5.31215688831337	4.18903382439002	4.62702310555406	5.268284666521	4.27426166125705	5.74092756031863	6.25568955522063	5.02945288578697	3.94579495674006	3.98732086592925
NFYA	3.21878116778407	3.39231742277876	3.90014226035982	4.00988458893184	4.03210084316702	4.79493566280354	4.52919626799939	4.25550073314839	3.92029330021101	4.00898878322726	3.44493204894218	4.12680770314204	5.11478344724985	6.0203688510632	5.1122831085982	4.56437816856506	3.64500988439109	3.81455042346181	4.76447355099267	3.83895176695194	4.53480866123175	4.25701061820602	3.94016675048282	3.58976348698498	4.16510798514454	5.79779120047889	4.32553033156756	4.74846123300404	5.3823214071145
STPG1	2.91838623444635	1.23878685958712	3.84599177066457	1.73552217729654	2.24488705912353	2.98185265328974	2.22032995487956	2.96162332828694	3.06695024392463	2.21101219348551	2.76553474636298	2.20789285164133	2.93168305705981	1.46988597627446	3.43028527297778	2.22958792274065	2.54349588342577	2.54596836910529	2.67355642399014	1.52606881166759	1.20789285164133	1.18269229751619	3.09592441999854	2.51349074558812	2.37016428054021	2.53106949272595	1.47508488294878	2.41142624572646	3.83693401132109
NIPAL3	4.28540221886225	2.28392177230762	5.66049513188851	2.8073549220576	4.62234472272424	3.09929520433778	3.85996954822103	4.47183776242229	4.43829285157915	3.10936055940423	4.87085786436376	3.32048467801769	3.10097764772482	2.99819550315325	3.77399632511117	2.82578562746479	3.82781902461732	4.38818953715608	4.05831649559082	3.54596836910529	1.78659636189081	3.17951105027151	4.05831649559082	4.53169336086147	4.03033607837096	3.43962313755712	2.55826763405574	2.28095631383106	4.97085365434048
