CAL851	HCC2218	HCC70	KPL1	EFM192A	CAL51	EFM19	CAL120	JIMT1	HDQP1	ZR751	HCC38	HCC1143	HCC1187	HCC1395	HCC1500	HCC1806	HCC1937	HCC1954	AU565	BT549	MDAMB453	MDAMB468	T47D	BT20	CAMA1	MCF7	MDAMB157	MDAMB231
trimethylamine-N-oxide	5.9642924	6.1333209	5.8291261	5.582283	5.8472918	5.8309173	6.0093742	5.866052	5.7050558	5.7551573	5.6726692	5.9948475	5.8276809	6.242255	6.1783707	5.9716151	5.6262712	6.2334255	5.9709607	5.8362446	6.0246476	5.9810475	5.8179572	5.7770855	6.1251709	5.9017321	5.8695672	5.9398455	5.9998178
hexoses (HILIC pos)	6.3680897	5.1238191	5.8699418	5.8448316	5.8803487	6.3598292	6.0575686	5.8237472	6.0449482	6.1144716	5.9668995	5.6616701	5.9712404	5.3450756	6.3191267	6.0234663	5.8031672	5.9398491	5.8690514	6.1392038	6.1805016	6.0606045	6.0866876	5.4720603	5.1333555	5.1244756	5.847657	5.6120199	6.1079835
adenosine	5.8100938	6.1413176	5.9470751	5.6401781	5.3026875	6.6673492	5.7141117	4.5433704	5.9879766	6.5408282	5.6525293	4.6161292	4.8097347	5.8805716	5.4431096	5.8928752	5.3288446	6.2965356	5.6098565	6.0215975	5.7729925	5.4874815	6.3227943	4.2717454	5.7847124	6.0392149	6.2725013	4.7644185	6.2685712
thymidine	5.5657509	6.0640501	5.0754734	5.4328534	5.8594983	5.7188523	6.3490739	6.2797178	5.3034314	5.3913805	5.6167229	5.9095873	5.2473466	6.1335619	5.4976129	6.1537633	5.0625344	6.9885106	5.4544275	5.190882	5.9043755	5.1017346	5.8188004	6.0431901	5.9524425	5.8539781	6.4023391	5.5203072	5.5124362
xanthosine	5.9154608	5.6592944	5.8777539	5.947362	6.1036252	5.9577	5.902992	5.8311542	5.8347282	6.2158243	5.7062685	5.8223424	6.2078924	6.1423311	5.6785245	5.590084	6.0282853	6.5687182	5.6344951	5.8786862	6.1393229	5.6939654	5.7468049	5.7637761	5.7306754	5.2574374	5.8507392	5.8548356	5.8159671
2-deoxyadenosine	6.0326672	5.8615646	5.6375872	6.5039406	6.2708086	6.0767714	6.2048425	5.7439569	5.6537947	5.3463369	5.9402921	5.5165153	5.647141	5.6428134	5.4912237	6.785795	5.9028069	6.586683	6.0094757	5.9555608	5.9393927	6.5984117	5.7614417	6.5082153	5.8515097	6.1317186	6.5912441	4.9863451	6.668417
2-deoxycytidine	4.7816989	5.8987128	5.5465615	6.7456403	5.413418	6.1986814	6.1792135	5.0479482	4.8855746	4.9008934	6.3711945	5.5220042	5.2168175	6.1281496	5.8524511	6.3940042	4.8644684	6.0969577	5.6980158	6.4002461	6.544986	5.6151563	6.094875	6.5597669	6.0915587	5.8975119	6.956061	6.222906	5.298375
cAMP	6.1389685	6.0386492	5.8162952	6.5939256	5.5337269	6.0301774	5.8364465	6.2917219	6.3774955	5.7045279	5.8839763	5.7618116	6.0268647	5.7903205	5.6945604	6.2365374	6.1624573	6.2299554	5.8411923	5.9139732	5.8792555	6.1470406	5.7400659	6.0079228	6.1003609	7.0158347	6.847157	6.0684441	5.7100956
cotinine	6.3510561	6.3267023	6.1280196	5.263823	5.817848	5.9172017	6.3916963	5.2605271	5.862867	6.1246371	6.3328237	5.549987	5.0536806	6.0587203	6.2504467	6.4569365	6.2382211	6.5469791	6.0189131	5.7088426	5.830029	6.1111596	5.7624839	5.0727288	5.8999031	5.8564373	6.2757765	5.8287901	6.2049252
pipecolic acid	6.1840351	5.7610988	5.4632821	5.1739589	5.0900645	6.2523216	6.16081	6.1174943	5.1585943	6.1519055	5.7345771	5.8024011	6.0772873	4.8885944	6.1093795	5.9186219	5.3527662	6.0888723	6.042152	5.8100007	5.8033999	5.1790375	5.7914399	5.787166	6.7803924	6.3171312	6.4700529	5.8406755	5.6761366
