CAL851	HCC2218	HCC70	KPL1	EFM192A	CAL51	EFM19	CAL120	JIMT1	HDQP1	ZR751	HCC38	HCC1143	HCC1187	HCC1395	HCC1500	HCC1806	HCC1937	HCC1954	AU565	BT549	MDAMB453	MDAMB468	T47D	BT20	CAMA1	MCF7	MDAMB157	MDAMB231
MIMAT0000062	14.718371	14.894883	12.852479	13.531519	13.702854	15.018807	14.632038	14.601368	14.706525	12.978689	15.098029	13.888375	15.155616	14.595106	14.864405	16.184483	14.489413	15.559732	13.767761	12.8470745	13.9745035	16.860575	13.480353	14.750285	12.251828	13.866117	13.153284	15.190993	13.002413
MIMAT0000063	10.662152	11.065241	12.57139	9.531947	9.944829	10.410239	8.595668	11.194788	10.620294	9.849405	11.273469	11.886767	12.027149	12.1026745	12.656838	13.429656	10.1619005	12.01407	11.332624	9.312112	10.800811	14.701565	9.5755205	8.285726	11.044032	9.832922	9.062882	11.755492	10.173215
MIMAT0000064	8.988003	10.030971	8.804583	8.221636	8.046196	10.600535	7.740658	9.516488	11.667436	9.964341	10.709515	10.041453	10.197082	11.907713	10.160779	11.062748	9.986724	10.506208	9.257765	9.983278	9.6698065	12.772919	8.913099	7.436961	7.5960407	10.739721	7.820498	9.313586	7.318588
MIMAT0000065	11.341608	11.667528	11.519145	11.582745	11.102894	10.32221	9.089212	11.5441	11.494031	9.835103	12.046418	11.103773	11.698458	11.656072	13.453335	13.359907	10.395695	12.910899	11.434737	10.133425	10.998795	12.742292	11.079245	9.024115	11.315851	11.198562	11.068758	13.659259	11.119103
MIMAT0000066	10.617008	9.792205	9.574177	10.218672	10.931151	10.111096	10.1933155	9.554742	9.368681	8.960234	11.30097	9.974644	10.800083	8.145678	10.319164	12.823944	8.600024	11.579372	11.063334	8.936579	9.233164	12.343957	9.654135	8.896151	8.993589	11.228987	9.906139	10.631368	9.269501
MIMAT0000067	11.904913	11.012087	11.51157	11.41229	11.309624	10.27012	9.197585	11.740148	11.301862	9.152589	12.374779	12.0523405	11.619936	11.975902	14.012378	13.5336275	9.993207	13.153339	11.685914	10.147688	11.267717	12.738352	11.09551	8.675886	10.166854	11.479209	11.316225	11.631136	11.11861
MIMAT0000414	11.568356	12.609804	10.555845	11.639395	11.40064	12.218996	9.675587	12.098361	12.215709	10.377764	13.114336	11.175967	12.191066	11.531654	14.431494	13.29394	10.59768	13.251594	11.68707	10.354723	11.490816	13.689109	11.267454	8.445056	10.360836	11.470618	10.900301	13.618134	10.816383
MIMAT0000415	9.771704	11.6945715	11.61654	11.135331	10.427082	9.810572	9.912081	12.6900835	10.06326	8.328271	11.24159	11.042439	11.401354	11.925707	12.554301	13.247632	9.85306	11.385356	10.07735	10.786629	11.894181	12.82462	10.697967	9.981068	9.348175	10.984952	10.898662	13.3195095	10.964442
MIMAT0000416	5.827057	5.9927683	6.380418	6.089583	6.019702	5.947666	6.0919113	5.9030385	5.8745513	6.012792	5.993901	5.9375796	5.8931193	5.9950323	6.295172	5.9183865	5.9733815	5.9927683	5.8564878	5.962086	5.896756	6.227279	5.8752885	5.981396	6.046797	6.142209	5.861211	6.3300204	6.010332
MIMAT0000098	12.694872	6.1858664	7.300307	5.800123	6.055933	6.5309134	6.003602	13.182528	11.686531	8.68818	6.3485513	9.387737	6.79831	7.241745	12.17329	6.0544143	10.486925	9.96006	7.259084	6.3212066	10.624028	6.3643975	7.5461226	5.8899603	5.9128895	6.27165	5.9523335	6.3969474	12.745859
MIMAT0000099	9.483614	10.901237	9.743286	8.96956	8.110927	9.2479515	10.734659	9.114836	8.105175	7.003602	10.033354	7.7774196	8.932363	9.349127	9.936343	11.037286	7.9587846	9.664145	9.733998	7.9123507	8.879736	9.353588	9.297489	10.311056	8.002478	10.089557	9.621649	9.368637	8.18651
MIMAT0000101	12.109919	12.259573	11.141207	11.783125	11.384379	11.87644	13.366507	11.32422	11.588424	11.026828	12.592403	11.043294	12.635944	12.344584	11.953542	14.194571	11.821734	13.563798	11.898771	10.609742	11.212077	13.314069	11.873994	13.061853	10.742503	12.275002	11.856437	12.940752	10.55975
MIMAT0000102	6.1529946	6.0435195	6.507636	5.9406366	5.9823093	6.1093607	7.05474	6.882276	6.5444236	6.1301074	6.788686	6.0511546	5.9493012	6.017031	5.694323	6.1789136	6.2585187	6.0365033	6.4867144	6.2781706	5.9791107	5.9646297	6.8638144	6.116448	6.308885	5.896514	6.1189413	5.895303	5.886062
MIMAT0000103	9.7938795	12.095667	9.075158	8.253469	8.958262	11.103294	10.908723	9.67009	10.137299	9.081643	10.475115	9.242888	9.914131	10.7652445	10.109308	9.269478	9.555778	10.889595	8.701826	9.246646	9.302525	10.530318	10.232385	9.344563	8.202124	9.665016	8.676451	8.160073	9.4515
MIMAT0000680	11.526353	12.977518	10.073365	12.725773	12.18717	12.408528	12.327914	10.798148	10.495915	9.229035	12.962376	10.781606	11.4939	11.720167	13.623896	13.421218	10.946044	11.898428	10.965568	11.183431	11.01164	13.145404	11.385663	12.009979	9.840401	12.285683	12.399107	11.44272	9.895015
MIMAT0000104	8.601585	10.59383	7.888926	9.211183	7.4426947	9.974945	10.24234	8.164957	7.8400226	8.636262	9.596637	7.30305	8.682081	9.8250065	10.0511	10.381489	9.8644495	9.114497	8.190121	7.94714	8.182891	10.087105	9.965207	10.122246	8.230549	9.030667	9.502812	9.028154	7.94046
MIMAT0000253	7.410748	12.784052	8.064959	6.2241945	6.441616	12.6065	6.1340156	7.639232	9.393669	7.8011584	7.1169677	11.11687	6.201242	6.8812976	7.783129	6.4498916	8.852468	7.749333	7.0871444	6.3212066	8.819764	6.9189825	6.4976125	9.263152	8.421308	6.3123384	6.1301074	7.32562	8.40314
MIMAT0000254	6.1181107	6.6460185	6.9576826	5.9183865	6.125982	10.278646	6.214902	6.376603	6.3536763	6.0531116	6.165912	6.230741	6.0033774	6.202026	6.139551	6.1487308	6.292782	6.1199784	6.4653215	6.2781706	6.2671614	6.5484366	6.0916996	6.2401233	6.460579	6.879951	6.2061353	6.6906962	6.4974527
MIMAT0005823	6.0643654	6.0925455	6.0307775	5.895303	5.878235	7.044613	6.026136	6.0465784	5.97728	5.793636	6.0476694	5.995711	5.794416	6.081297	8.12003	6.5681844	6.034964	5.9248123	5.9521008	6.041331	5.8321304	6.3859487	5.969473	5.9271855	5.877499	5.9832215	5.900867	9.182643	5.809672
MIMAT0005824	6.4326253	6.7102556	7.1258783	6.2422214	6.2973747	6.282254	6.466627	6.495855	6.3017707	6.4635243	6.471838	6.5533605	6.347666	6.3998547	6.2108173	6.7395782	6.9776235	6.3096128	6.35297	6.582255	6.331096	6.778734	6.6978016	6.592756	5.9128895	6.6872005	6.2376404	6.551362	6.357024
MIMAT0005825	6.219943	5.8855743	6.139551	6.6088095	6.521679	6.4844604	6.253611	6.6705856	6.103917	6.2729564	6.418359	6.156437	6.493135	5.9497685	6.295172	6.9979696	6.6092525	6.4929748	6.2813272	5.9889116	6.436462	7.295815	5.9875484	6.9227924	6.460579	6.0163627	6.327867	7.6328497	6.2311254
MIMAT0005826	6.3453608	6.315421	6.624686	6.1485276	6.246028	5.947666	6.113117	6.140983	6.2203298	5.8402114	6.5358973	6.5142803	6.0382605	6.295356	6.139551	6.4498916	6.151169	6.2735157	6.2813272	6.116448	5.9387565	6.2975583	6.0054	6.2694073	6.0145783	6.157044	6.152386	6.1485276	6.077029
MIMAT0005827	5.9307375	5.708187	6.7672577	5.848498	5.9441557	5.7260137	5.933809	5.8592243	5.8745513	5.793636	5.9754467	5.907852	5.8544946	5.8789706	5.7905116	5.8070974	6.0748906	5.9927683	6.2057443	6.1407785	5.896756	6.0212574	5.9875484	5.9271855	5.981168	5.8604665	5.926711	6.068886	6.010332
MIMAT0005828	5.848498	5.708187	6.54782	5.848498	5.8507495	5.7260137	5.860218	5.881175	5.724923	5.7452374	5.937815	5.8462424	5.874059	5.9950323	5.7191834	5.9183865	5.930501	5.7784715	6.1531973	6.152792	5.9181476	6.1534	6.0232553	5.999098	5.9128895	6.127014	5.913847	6.068886	6.1091514
MIMAT0005798	5.9701633	6.356144	6.240696	5.824259	5.93121	6.046797	6.272583	5.8592243	5.801676	5.7452374	6.213736	5.7484612	5.814807	5.8301034	5.8135247	6.1179028	6.0148015	5.9248123	5.7889466	6.0541973	5.853996	6.1020284	5.8158317	5.9271855	5.8409667	5.9319196	6.0018024	5.895303	5.886062
MIMAT0005955	5.827057	5.708187	5.9729223	5.7241044	5.878235	5.7260137	5.8349133	5.76739	5.801676	5.7452374	5.859721	5.9375796	5.731726	5.7792597	5.694323	5.882154	5.9521008	5.752481	6.0123453	6.015471	5.8755345	5.8760257	5.913847	5.812498	5.803744	5.9145646	5.806324	6.1093607	6.010332
MIMAT0005863	6.1181107	6.4716754	6.139551	5.871844	6.1485276	6.046797	5.933809	6.2123747	5.8745513	5.929081	6.229396	5.995711	6.0033774	6.102238	6.139551	6.424754	6.187847	6.057667	6.17971	6.0541973	5.9387565	6.407353	6.2650995	6.210233	6.0145783	6.186659	6.1632977	6.2955394	6.245648
MIMAT0005864	5.910493	5.940167	6.2889123	5.824259	6.102868	5.877499	6.003602	6.2123747	5.97728	5.929081	6.0298944	6.230741	6.0552826	6.1224656	5.9236245	6.1487308	6.1133256	6.0995054	5.9825373	6.1043367	5.8755345	6.274448	6.0578833	5.8711042	6.0145783	6.032762	5.939697	5.9845896	6.0441756
MIMAT0005866	6.169925	6.434128	6.54782	6.048323	6.102868	5.947666	6.0703893	6.376603	6.13381	6.012792	6.213736	6.023477	6.201242	6.017031	5.8806853	6.424754	6.1133256	6.2178125	6.305606	6.015471	6.165711	6.251151	6.1083155	6.050502	6.046797	5.9145646	6.1301074	6.186659	6.0441756
MIMAT0005868	5.8902035	6.139961	6.3352118	5.871844	6.055933	5.7260137	5.909773	6.0658736	5.909533	5.8402114	5.993901	5.9375796	5.8346605	5.9030385	5.7433534	6.021702	5.886794	5.9706235	5.9521008	5.9889116	5.9181476	6.1020284	5.8557405	5.945561	5.9128895	5.9493012	5.847496	6.224002	5.829088
MIMAT0005869	6.3750396	6.7102556	6.139551	6.551516	6.0795913	6.4607425	6.577731	6.0465784	6.073392	5.793636	6.290203	6.4741116	5.967399	6.794416	6.8795834	6.4742737	6.275938	6.5542817	5.9825373	6.116448	6.0565834	7.3184977	6.351381	6.225159	6.046797	6.2439356	6.1741266	6.3300204	6.186659
MIMAT0005870	6.474436	6.2735157	7.2032013	6.2422214	6.2564445	6.282254	6.364047	6.5790896	6.275193	6.167117	6.3628206	6.848623	6.4022446	6.5436506	6.3748655	6.8561144	6.622784	6.4289465	6.757557	6.3526173	6.283551	6.9914083	6.708739	6.3262496	6.460579	6.3257103	6.1189413	6.7933755	6.5334077
MIMAT0000421	6.135658	6.315421	6.54782	6.129283	6.102868	5.9128895	6.026136	6.263598	6.13381	5.929081	6.082362	6.4326253	6.1701255	6.1824937	6.064581	6.424754	6.223809	6.3096128	6.305606	5.948367	6.1830893	6.407353	6.1247416	6.148324	6.139551	6.032762	6.1411877	6.2955394	6.357024
MIMAT0005573	6.3601885	6.0435195	7.0160284	6.3301997	6.2564445	6.3614173	6.8036146	6.263598	6.0419874	6.2384048	6.5358973	6.4535174	6.4805884	6.729145	6.005849	6.8745513	6.3425193	6.569248	6.7217827	6.2997575	6.2341948	7.498251	6.2043757	6.472	6.575766	6.3776445	6.1301074	6.491372	6.260214
MIMAT0005577	6.082575	6.2303567	6.586765	6.048323	6.2872505	6.1982975	6.928607	6.3451834	6.073392	6.012792	6.3485513	6.206331	6.3336024	6.277055	6.139551	6.521993	6.1697245	6.236684	6.399171	6.0919113	6.0940247	6.227279	6.1731277	6.3262496	5.9128895	6.127014	6.1848755	6.3300204	6.396776
MIMAT0005580	6.0087647	6.1858664	6.586765	5.9406366	5.969703	6.1093607	5.9574504	6.0851274	5.943921	5.971544	5.9567537	5.8772535	5.7739964	6.0602636	5.9236245	6.2656617	5.930501	5.9927683	6.1531973	6.188045	6.130313	5.9646297	5.932628	6.0336432	6.1982975	5.9493012	6.038041	6.1485276	6.2311254
MIMAT0005583	5.9307375	5.708187	6.3352118	5.871844	6.0318804	5.877499	6.113117	5.9030385	5.724923	5.8402114	5.9567537	5.8462424	5.874059	5.9030385	5.7905116	5.882154	5.930501	6.291677	6.0982428	6.116448	5.9387565	5.8449883	5.951168	5.9637055	5.877499	5.9319196	5.913847	5.9406366	6.027464
MIMAT0005586	5.8902035	5.8288345	6.507636	5.895303	5.8507495	5.7652698	6.272583	5.945561	5.97728	5.793636	6.011898	5.995711	5.8544946	6.0602636	5.7905116	6.021702	6.1133256	5.8288345	6.125982	6.2338114	5.9988723	5.9356956	6.0232553	6.083852	5.7652698	6.065012	5.9648604	6.068886	6.140574
MIMAT0005588	6.027464	6.0435195	5.9128895	5.7241044	5.956986	5.9128895	5.8091574	5.881175	5.943921	5.793636	5.993901	5.8772535	5.814807	5.972463	5.767125	6.021702	6.034964	5.8534966	5.9207697	5.863443	5.9590745	5.8449883	5.8557405	5.7721496	5.9128895	5.9145646	5.806324	5.7998643	5.9759054
MIMAT0005591	6.135658	5.9927683	6.085977	6.048323	6.055933	5.877499	6.026136	6.194757	6.073392	5.929081	5.9754467	5.9375796	5.9493012	6.0602636	5.8135247	6.086614	6.034964	5.9248123	5.9521008	6.152792	5.809929	6.0755324	5.969473	6.116448	5.7652698	5.9664764	5.913847	6.027464	5.9406366
MIMAT0000422	6.0461416	5.708187	6.085977	5.824259	5.891662	5.803744	5.8349133	5.9030385	5.6848187	5.929081	5.8994174	6.078311	6.0033774	5.854993	6.005849	6.1179028	6.0148015	5.9479	5.7180877	6.041331	5.9181476	6.1534	5.8158317	5.9271855	6.1091514	5.9145646	5.8745513	5.9845896	6.010332
MIMAT0005894	6.169925	6.139961	6.7672577	5.985045	5.904966	6.254745	6.0919113	6.246788	6.191997	5.88533	6.1331935	6.206331	6.07232	6.1224656	5.9446244	6.698635	6.309431	6.291677	5.9207697	6.0541973	6.0755324	6.1785154	5.932628	6.0673804	6.1982975	6.142209	6.038041	6.3300204	6.186659
MIMAT0005896	6.474436	5.9927683	6.586765	6.1679196	6.102868	6.0145783	6.253611	6.2968245	6.2203298	6.2729564	5.9754467	6.4944158	6.1542106	6.295356	5.9653225	6.424754	6.1133256	6.159871	6.35297	6.0919113	6.1830893	6.3643975	6.140983	6.210233	6.254745	6.142209	6.0963464	6.429114	6.383704
MIMAT0005897	5.8902035	5.9927683	6.085977	5.9406366	5.969703	5.981396	6.0485415	6.0658736	5.801676	6.0531116	5.79831	6.181699	6.089159	6.102238	5.9857283	6.208283	5.7703004	6.0995054	6.0415497	5.948367	5.853996	5.9932213	5.8752885	5.9637055	5.9128895	6.0163627	5.9523335	5.848498	5.9932213
MIMAT0005898	9.419118	10.080404	10.175986	6.934988	7.6107297	7.771027	9.572018	8.62326	7.6866407	8.816119	8.618936	9.194264	7.9499435	7.6827135	8.496334	9.70672	8.456929	8.83156	7.7854853	7.680043	8.225545	10.646991	9.116006	7.7952604	8.934369	8.728839	7.456724	7.021813	8.2310295
MIMAT0005899	6.0643654	5.940167	5.9128895	5.9406366	5.9181476	5.7260137	5.9574504	5.76739	5.97728	5.793636	5.8994174	5.8462424	5.731726	5.7792597	5.858727	5.8449883	5.930501	5.877744	5.9207697	5.9889116	5.9791107	6.0212574	5.7325406	5.792595	5.877499	5.804776	5.806324	7.502633	5.9226737
MIMAT0005900	6.2361097	6.139961	6.3352118	5.9630117	5.9823093	5.803744	6.195151	6.1226726	6.103917	5.971544	6.149544	6.4326253	6.1542106	6.142822	5.858727	6.208283	6.1697245	6.159871	6.4653215	6.0669503	6.112283	6.2975583	6.0916996	6.0163627	5.877499	5.9493012	6.0018024	6.3300204	6.1091514
