CAL851	HCC2218	HCC70	KPL1	EFM192A	CAL51	EFM19	CAL120	JIMT1	HDQP1	ZR751	HCC38	HCC1143	HCC1187	HCC1395	HCC1500	HCC1806	HCC1937	HCC1954	AU565	BT549	MDAMB453	MDAMB468	T47D	BT20	CAMA1	MCF7	MDAMB157	MDAMB231
A2M	4.20602566263455	3.65194832661994	4.12837109844055	4.52168181123411	4.25381492977849	4.54526034467338	4.39866867678796	4.06011508801924	3.20955259070766	3.19005888695236	3.81139946913868	4.29925079131005	3.41052383900058	3.91498674824714	4.54255385538035	4.50022146279856	3.26826743848427	3.00417822735305	3.61586414571856	3.14149398658164	4.71520779709571	3.58353095493704	3.92504585573019	4.01516535478122	3.62126031363137	3.96823282276607	3.2031291210402	3.88073281185172	1.80397000429688
AAAS	4.32898775068006	3.96371846132248	4.00863623894726	3.97594962531636	4.37200786700696	4.94393248368213	4.31521660622315	4.19230929705573	4.2046388821333	4.59220414532588	3.60423797844446	4.13949630916367	4.8842996478396	4.17199671095665	3.65687827937344	3.97987778177998	4.63583583384476	4.18826111801678	4.42422956415243	4.29527060534301	4.40150851209218	3.89925578281846	4.16120306395068	4.41087967014451	4.08238452048048	3.70087695060332	3.82595939678918	4.18327479676625	4.43007623001099
AACS	3.85494173136893	5.12527002994795	5.81108618124012	4.44220154947972	4.03125367396289	3.6827176143761	4.70272807250866	4.54827638763277	4.57662093902537	3.3145054415964	5.52918082236707	4.47463813068783	4.60446878939327	4.22680065947032	3.65082576564917	5.86680319817045	3.30433404899021	3.09438869949966	4.36261034001928	5.34189123675569	3.56623337865781	5.57123736006909	4.6415530108517	4.99497999898817	5.20667332077278	2.90075864446137	5.08828348519471	4.61489707854411	5.10980984581925
AAGAB	3.41766253392625	5.21094412043163	4.50424320761184	4.68624113475456	5.03775058133154	4.22660696555152	5.08187987230892	4.4039930438821	4.3816679835584	3.359315136568	5.49827323751754	3.74133116698088	4.37575994053621	3.74767383755034	4.64077915962786	5.40163523712573	2.49296854896674	3.56311974370332	4.14541038335886	3.51256053861035	4.79979132920015	4.71307235538151	4.28024729171494	5.29713881049231	5.58504159108471	3.98609606451516	4.75260245219054	4.39132832857829	3.47276399790068
AAK1	4.30102810244591	4.74003630695331	4.47176201879922	3.75365145740964	4.85558828724564	3.491929170279	3.92728099863018	4.91853627889248	4.76970705950779	4.23569567044605	4.36379957493864	4.52408435081395	3.8319590445595	3.56719936687962	4.79302454888616	4.26091203555862	4.0764854834645	4.31466678771395	4.32150266327309	3.95015671453202	4.47877144198061	3.76149914460825	4.27640784859293	3.9147740732775	5.68616349222363	4.49424731454371	3.56286746684396	5.7637710491698	4.78147477743499
AAMDC	4.09925411831661	4.75955053176487	4.91885648062935	3.55956205832929	4.33481281105083	4.32231508066504	3.13378521156739	4.74216987805492	4.05001777184025	4.19119639172707	4.99687410296721	3.86759966252878	4.35853118773389	5.60540550655481	4.2981161667815	5.18208232738753	2.33923718154892	3.8098128496426	3.71456965827503	3.20248988746617	4.43305668143806	6.15090526372951	5.85936976370495	4.74173170944513	3.42283355245145	4.74621407029591	4.9816499798774	5.08357007995831	4.94550645324942
AAMP	3.05232613194851	4.9321996842422	4.01114907261787	3.89623467716697	4.0643469196954	4.56548582168441	4.54974231933301	5.17555139385529	3.93325123550752	3.67546383319961	5.02294417249701	3.54729953623041	3.81503021974712	4.28171437059196	4.3895320513823	5.86158174071222	3.36461628016364	3.74494569462682	3.54203421582328	4.11234222976144	3.91347195380439	4.78536221156203	3.90648953588596	4.94457475959243	4.28796456587701	3.73824596033642	4.52479650172723	5.14990922323685	3.91061100990122
AAR2	3.22358135123831	3.78766054466048	3.59182393767398	4.30459514480831	3.95777275463867	4.05939911832016	3.70712524024057	4.7758305818405	4.12938561681948	3.77463454334684	4.53992334399111	4.52422048617819	4.56554807239365	3.7847127079936	4.23715505715201	4.82814973043766	3.58242671492503	4.11062105372567	3.8476157631084	4.63575856238456	5.14194981871419	4.21022880988583	4.239416450595	4.36943152580131	4.49362777230991	3.76653941625302	4.43895796087426	4.64439538360271	4.68387758252647
AARS1	3.80811951992317	4.00797028544853	5.62861614714134	4.68038733007394	4.27699273143613	3.83365844241686	3.49018027039043	4.42460568634174	4.04370117723632	3.58408788241162	5.84383235685903	3.43436232899921	3.25318649713713	4.5112979386392	4.83146725173413	5.65362284127876	2.81739400501994	3.56090792886489	4.33660126658024	3.4734994612395	4.77465453924065	5.27614278612251	4.21829811705085	4.67232336117051	5.31618301198176	4.85511208215195	4.79844625301028	4.11094046825388	3.93899303381751
AARS2	4.3489397496523	4.84326844151593	3.70290658133822	3.92487971322665	3.78440819417712	4.3841730128601	4.3469469036252	3.96136179933452	4.39960895116084	5.10496348622955	3.7722370416094	4.29993418815473	4.38438626948566	4.32928977317825	3.74076265908728	4.27673349656309	4.24166291456858	4.45186119922775	4.05249795823454	3.99829396630976	3.83759501814847	3.77650886390811	3.98843190942898	3.79885008509278	4.90240467042749	4.82544594546757	3.80200111367943	4.22502929538967	3.58378119913126
AARSD1	3.4678282788231	5.07822271538828	4.66124954396254	3.45534041781205	4.56012229962516	4.09433159456847	3.74277638454121	4.04157243269867	3.47921812825929	2.981179028852	4.65378622809301	3.70408715272494	3.37728888709348	3.99590782736943	4.8829047584586	5.15733292903992	2.67090388925503	3.57947181173646	4.04642829499236	3.86145819726657	3.40924391193641	3.98989496690036	4.39813242727904	4.6304902740422	3.75556731318762	4.56000494470753	3.64673409708667	4.5597120524262	4.1241048928856
AASDHPPT	3.15856936902336	4.85676124218672	3.83108443552367	2.88764464022966	3.39512491235882	4.67752170566794	3.81868128589766	4.58740418498715	3.82012390004359	3.55422778619224	4.47687333191042	3.38227321627905	2.98292693119464	4.52657541513537	4.13920923251712	4.35262785798724	2.97431072574946	2.84306669395487	3.72203641767302	3.81008251938595	4.75898577182931	4.42090560139789	4.51812083523446	4.49456978885657	4.70162607153753	3.60890865790097	3.38859110602657	4.59635801653418	4.2217591667029
AASS	3.28373375256228	3.07946445888261	3.66278180015831	3.50274658055608	3.63778679336221	5.07344879944892	3.28581442004107	4.61935970900441	3.57915864634665	4.97087357382119	3.03657156899982	2.80852844506682	3.89241652277586	4.64128311988189	3.13445706309576	2.90959864509653	4.58252826768148	2.88996490652408	3.44112230525166	2.94829994863558	3.18398282634293	2.89778331747666	2.97427409962264	3.20526987543482	3.97251568843368	3.64280925826569	3.07732741098113	3.78184955338129	5.32967025993177
AATF	4.68427807749953	3.81069644222167	3.65998487456434	3.56314507844966	3.07784774099688	3.81811595979932	3.93892710539481	4.13629141187009	4.75906683869716	4.39848495340044	3.1138453531423	3.8914645520347	4.31559467192132	3.83447787803177	4.53103523228167	3.66050220179909	4.85452892145978	4.20324685075456	4.01304379274426	4.16202619349204	3.66757553986429	3.24394757507576	4.5916213552207	3.37502838256305	4.95615827723115	3.3890337625806	4.01480944776822	3.88697732030327	3.52528861727431
ABCB10	5.073022803562	5.73113512291547	3.59114470380008	3.91933781956568	3.9983523669772	4.4692219673479	4.44325437922795	3.97476683349912	3.84364250686114	4.0186725783136	4.67729914045165	3.26848481186064	3.95595253536671	4.2400676190939	4.00866764220007	3.53463086303085	4.98318133132666	3.98030258703837	4.50531224159114	4.6935480476318	3.70012337915844	3.31997552409254	3.94718976421675	3.93460509266027	4.07383543432248	4.34460236722463	3.80564519919456	4.10543722624136	4.55163124964321
