CAL851	HCC2218	HCC70	KPL1	EFM192A	CAL51	EFM19	CAL120	JIMT1	HDQP1	ZR751	HCC38	HCC1143	HCC1187	HCC1395	HCC1500	HCC1806	HCC1937	HCC1954	AU565	BT549	MDAMB453	MDAMB468	T47D	BT20	CAMA1	MCF7	MDAMB157	MDAMB231
A2M	-0.0645824129500912	-0.618659748964705	-0.142236977144089	0.251073735649466	-0.0167931458061457	0.274652269088745	0.128060601203321	-0.210492987565405	-1.06105548487698	-1.08054918863228	-0.45920860644596	0.0286427157254137	-0.860084236584055	-0.355621327337496	0.271945779795705	0.229613387213922	-1.00234063710037	-1.26642984823159	-0.654743929866076	-1.129114089003	0.444599721511072	-0.687077120647598	-0.34556221985445	-0.255442720803421	-0.649347761953267	-0.302375252818573	-1.06747895454444	-0.389875263732918	-2.46663807128776
AAAS	0.0583796750954191	-0.306889614262162	-0.261971836637381	-0.294658450268276	0.101399791422318	0.673324408097488	0.0446085306385113	-0.0782987785289123	-0.0659691934513382	0.32159606974124	-0.666370097140177	-0.131111766420974	0.613691572254961	-0.0986113646279911	-0.613729796211204	-0.290730293804662	0.365227758260119	-0.0823469575678573	0.153621488567789	0.0246625297583679	0.130900436507536	-0.371352292766185	-0.109405011633964	0.140271594559872	-0.188223555104162	-0.569731124981319	-0.444648678795463	-0.0873332788183881	0.159468154426348
AACS	-0.415666344215707	0.854661954363307	1.54047810565548	0.171593473895082	-0.239354401621751	-0.587890461208544	0.432119996924019	0.277668312048127	0.306012863440734	-0.956102633988239	1.25857274678243	0.204030055103188	0.333860713808626	-0.0438074161143196	-0.619782309935466	1.59619512258581	-0.966274026594435	-1.17621937608498	0.092002264434637	1.07128316117105	-0.704374696926831	1.30062928448445	0.370944935267059	0.724371923403534	0.936065245188141	-1.36984943112327	0.817675409610065	0.344289002959468	0.839201770234608
AAGAB	-0.852945541658394	0.940336044846989	0.2336351320272	0.415633059169918	0.767142505746898	-0.0440011100331168	0.811271796724283	0.133384968297461	0.111059907973759	-0.911292939016642	1.2276651619329	-0.529276908603765	0.105151864951566	-0.522934238034301	0.37017108404322	1.13102716154109	-1.7776395266179	-0.707488331881322	-0.125197692225782	-0.758047536974294	0.529183253615506	0.442464279796865	0.00963921613029598	1.02653073490767	1.31443351550007	-0.28451201106948	0.481994376605904	0.120720252993655	-0.797844077683958
AAK1	0.0304200268612716	0.469428231368668	0.201153943214584	-0.516956618174999	0.584980211660995	-0.778678905305635	-0.343327076954457	0.647928203307842	0.499098983923148	-0.0349124051385951	0.0931914993540024	0.253476275229308	-0.438649031025145	-0.703408708705018	0.522416473301521	-0.00969604002601543	-0.194122592120136	0.0440587121293087	0.0508945876884535	-0.320451361052621	0.208163366395965	-0.509108930976385	0.00579977300828577	-0.355834002307142	1.41555541663899	0.223639238959073	-0.707740608740676	1.49316297358516	0.510866701850352
AAMDC	-0.171353957268027	0.488942456180232	0.648248405044714	-0.711046017255345	0.0642047354661882	0.0517070050803966	-1.13682286401725	0.471561802470283	-0.220590303744389	-0.0794116838575691	0.726266027382572	-0.403008413055863	0.0879231121492475	1.33479743097017	0.0275080911968632	0.911474251802886	-1.93137089403572	-0.46079522594204	-0.556038417309608	-1.06811818811847	0.162448605853425	1.88029718814487	1.58876168812031	0.471123633860489	-0.847774523133186	0.475605994711271	0.711041904292755	0.81296200437367	0.674898377664778
AAMP	-1.21828194363613	0.661591608657557	-0.25945900296677	-0.374373398417667	-0.206261155889238	0.294877746099768	0.279134243748374	0.904943318270646	-0.337356840077124	-0.595144242385027	0.752336096912371	-0.723308539354228	-0.455577855837518	0.0111062950073217	0.118923975797656	1.59097366512758	-0.905991795420997	-0.525662380957821	-0.728573859761356	-0.158265845823197	-0.357136121780253	0.514754135977389	-0.364118539698676	0.67396668400779	0.0173564902923668	-0.532362115248218	0.254188426142588	0.87930114765221	-0.359997065683422
AAR2	-1.04702672434633	-0.482947530924165	-0.67878413791066	0.0339870692236745	-0.312835320945973	-0.211208957264483	-0.563482835344072	0.50522250625586	-0.141222458765157	-0.495973532237802	0.269315268406474	0.253612410593548	0.294939996809005	-0.485895367591042	-0.03345301843263	0.557541654853018	-0.688181360659612	-0.159987021858966	-0.422992312476242	0.36515048679992	0.871341743129553	-0.0603792656988065	-0.0311916249896417	0.0988234502166651	0.223019696725273	-0.504068659331618	0.168349885289615	0.373787308018066	0.413269506941827
AARS1	-0.462488555661469	-0.26263779013611	1.3580080715567	0.409779254489302	0.00638465585148595	-0.436949633167776	-0.780427805194212	0.153997610757097	-0.226906898348323	-0.686520193173018	1.57322428127439	-0.83624574658543	-1.01742157844751	0.240689863054556	0.560859176149491	1.38301476569412	-1.4532140705647	-0.70970014671975	0.0659931909956011	-0.797108614345143	0.504046463656011	1.00553471053787	-0.0523099585337874	0.40171528558587	1.04557493639712	0.584504006567313	0.527838177425642	-0.159667607330758	-0.331615041767134
AARS2	0.0783316740676602	0.572660365931289	-0.567701494246418	-0.345728362357992	-0.486199881407516	0.113564937275457	0.0763388280405645	-0.309246276250115	0.129000875576196	0.83435541064491	-0.498371033975244	0.029326112570089	0.113778193901016	0.0586816975936117	-0.529845416497362	0.00612542097845172	-0.0289451610160562	0.181253123643107	-0.218110117350096	-0.272314109274883	-0.433013057436175	-0.494099211676528	-0.282176166155656	-0.471757990491863	0.631796594842846	0.554837869882928	-0.468606961905208	-0.0455787801949691	-0.686826876453382
