sampleID,condition,batch,condition1,cl
CAL851,TNBC,1,1,0
HCC2218,non_TNBC,1,0,1
HCC70,TNBC,2,1,0
KPL1,non_TNBC,2,0,1
EFM192A,non_TNBC,3,0,1
CAL51,TNBC,3,1,0
EFM19,non_TNBC,4,0,1
CAL120,TNBC,4,1,0
JIMT1,TNBC,5,1,0
HDQP1,TNBC,6,1,0
ZR751,non_TNBC,5,0,1
HCC38,TNBC,7,1,0
HCC1143,TNBC,8,1,0
HCC1187,TNBC,9,1,0
HCC1395,TNBC,10,1,0
HCC1500,non_TNBC,6,0,1
HCC1806,TNBC,11,1,0
HCC1937,TNBC,12,1,0
HCC1954,TNBC,13,1,0
AU565,non_TNBC,7,0,1
BT549,TNBC,14,1,0
MDAMB453,non_TNBC,8,0,1
MDAMB468,TNBC,15,1,0
T47D,non_TNBC,9,0,1
BT20,TNBC,16,1,0
CAMA1,non_TNBC,10,0,1
MCF7,non_TNBC,11,0,1
MDAMB157,TNBC,17,1,0
MDAMB231,TNBC,18,1,0
