sample,sampleID,condition,batch,cl
SRR2015757,SRX1022901,parkinson,1,1
SRR2015760,SRX1022904,parkinson,2,1
SRR2015761,SRX1022905,parkinson,3,1
SRR2015762,SRX1022906,parkinson,4,1
SRR2015763,SRX1022907,parkinson,5,1
SRR2015764,SRX1022908,parkinson,6,1
SRR2015765,SRX1022909,parkinson,7,1
SRR2015766,SRX1022910,parkinson,8,1
SRR2015767,SRX1022911,parkinson,9,1
SRR2015771,SRX1022915,parkinson,10,1
SRR2015774,SRX1022918,parkinson,11,1
SRR2015775,SRX1022919,parkinson,12,1
SRR2015713,SRX1022857,control,1,0
SRR2015714,SRX1022858,control,2,0
SRR2015715,SRX1022859,control,3,0
SRR2015716,SRX1022860,control,4,0
SRR2015717,SRX1022861,control,5,0
SRR2015718,SRX1022862,control,6,0
SRR2015719,SRX1022863,control,7,0
SRR2015720,SRX1022864,control,8,0
SRR2015721,SRX1022865,control,9,0
SRR2015732,SRX1022876,control,10,0
SRR2015733,SRX1022877,control,11,0
SRR2015736,SRX1022880,control,12,0
